INFO:     Started server process [996]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
[2026-08-22 06:22:47] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:48] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:49] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/Listing_production/query?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:49] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:50] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:51] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:52] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:52] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:53] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:22:54] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
